minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43545,1068491,530,2606,0.1652978926233426,250.5375023217384
43546,973483,502,2565,0.17830114583201484,249.97293908902745
43547,979181,495,2507,0.17220601097955268,266.8665883476389
43548,1073520,508,2514,0.1575666509724933,253.8559827121968
43549,1155332,492,2487,0.15501476227956298,244.1387834426798
43550,964222,496,2454,0.17569716973476054,257.05865431008704
43551,948880,505,2512,0.18060215910755267,262.8117219710605
43552,972644,490,2485,0.17477857133338537,257.3906095056958
43553,940362,504,2497,0.1809456595640693,276.1763026237954
43554,949577,505,2483,0.17724353771202167,278.9520942986734
43555,982943,502,2478,0.17345736430188824,275.5558562066088
43556,909641,503,2491,0.1836240973867306,283.8553719359086
43557,895172,492,2474,0.1905621741888567,265.8480908618014
43558,993389,477,2449,0.17712732639777187,258.5228907559839
43559,913975,488,2454,0.19204361970293007,255.57839528720794
43560,1049097,563,2648,0.177605312631695,235.34916506461232
43561,999128,523,2644,0.18225703052159634,238.40528114413215
43562,884374,531,2559,0.1960659731301738,259.60442374868353
43563,899720,574,2643,0.19528882760967145,256.5157894108504
43564,904150,568,2596,0.19275809996233692,275.87364356059715
43565,897603,530,2556,0.1971052660284746,259.078494456141
43566,914125,555,2570,0.1942620895653809,255.22505856780634
43567,950919,527,2537,0.191355316299257,261.1772390198025
43568,862108,512,2534,0.20288237613844015,273.6549266962096
43569,878661,530,2523,0.20011594411152564,275.57761025557556
43570,877205,515,2507,0.20163135579138208,260.3130918390632
43571,898901,503,2522,0.19778137543953841,249.39097683401937
43572,874080,520,2532,0.20427452221648001,254.5163266527158
43573,877405,508,2524,0.2014575050039326,271.72990129986874
43574,893096,502,2471,0.19895905127664332,265.992085868324
43575,941991,534,2644,0.19741003966170279,236.90362499970732
43576,933247,516,2632,0.19818839290560258,257.1064640675415
43577,873218,493,2539,0.2030289075705925,273.852519300621
43578,868459,498,2483,0.20288710293862605,274.33036156498446
43579,863635,493,2452,0.20228747080071313,277.7574835667372
43580,871915,522,2516,0.2031919123457657,262.7326038746011
43581,883862,517,2493,0.2012740630810842,270.35461369219337
43582,881898,520,2498,0.2008928428264479,271.0820837715874
43583,917471,523,2518,0.1966339737800918,268.3019746462867
43584,921494,540,2509,0.19447922554238595,260.5269935954533
43585,1018898,538,2540,0.17815360410852982,244.66673048233355
43586,988277,504,2492,0.18298073483339872,269.3380127775781
43587,1057427,504,2505,0.17445027140124877,260.04823542309913
43588,1030482,491,2492,0.17745213398774567,251.8314785483319
43589,927892,495,2459,0.19750781816628302,260.1962445112864
43590,950548,549,2707,0.1982025959856622,250.70091193797293
43591,949712,518,2656,0.19891490697911787,259.0170191790768
43592,878616,533,2605,0.20412680089137575,268.0276414042009
43593,883187,547,2616,0.204072281466963,260.86385327900405
43594,889631,528,2576,0.20194702240138726,254.25224102610753
43595,891899,535,2608,0.20176732740923953,254.72814223746713
43596,878521,545,2614,0.20582898587280488,277.7907340448593
43597,875195,511,2561,0.20384929262389673,280.72883911895934
43598,891527,505,2582,0.20159501092279855,269.1329266165744
43599,948893,538,2567,0.19332718832573667,259.88465642112766
